code,name,nav_date,unit_nav,source,source_conflict,error
000218,国泰黄金ETF联接A,2026-09-22,3.3625,eastmoney:pingzhongdata,False,
000311,景顺长城沪深300指数增强A,2026-09-22,2.782,eastmoney:pingzhongdata,False,
000480,东方红新动力混合A,2026-09-22,6.265,eastmoney:pingzhongdata,False,
000628,大成高鑫股票A,2026-09-22,4.8579,eastmoney:pingzhongdata,False,
005051,摩根标普港股通低波红利指数A,2026-09-23,1.2334,eastmoney:pingzhongdata,False,
005613,摩根富时发达市场REITs指数(QDII)人民币A,2026-09-22,1.4694,eastmoney:pingzhongdata,False,
006594,博道中证500增强C,2026-09-23,2.5758,eastmoney:pingzhongdata,False,
007721,天弘标普500发起(QDII-FOF)A,2026-09-22,2.2715,eastmoney:pingzhongdata,False,
007722,天弘标普500发起(QDII-FOF)C,2026-09-22,2.2291,eastmoney:pingzhongdata,False,
008163,南方标普红利低波50ETF联接A,2026-09-22,1.0349,eastmoney:pingzhongdata,False,
008928,宏利消费红利指数A,2026-09-22,1.3797,eastmoney:pingzhongdata,False,
010771,天弘国证消费100指数增强发起A,2026-09-22,1.0833,eastmoney:pingzhongdata,False,
013127,汇添富恒生科技ETF联接发起式(QDII)A,2026-09-22,0.6977,eastmoney:pingzhongdata,False,
013308,易方达恒生科技ETF联接(QDII)A,2026-09-22,1.0539,eastmoney:pingzhongdata,False,
016452,南方纳斯达克100指数发起(QDII)A,2026-09-22,2.3703,eastmoney:pingzhongdata,False,
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,2026-09-22,2.2518,eastmoney:pingzhongdata,False,
017091,景顺长城纳斯达克科技ETF联接(QDII)A人民币,2026-09-21,3.0094,eastmoney:pingzhongdata,False,
017436,华宝纳斯达克精选股票发起式(QDII)A,2026-09-22,2.4835,eastmoney:pingzhongdata,False,
017437,华宝纳斯达克精选股票发起式(QDII)C,2026-09-22,2.4504,eastmoney:pingzhongdata,False,
017641,摩根标普500指数(QDII)人民币A,2026-09-22,1.7179,eastmoney:pingzhongdata,False,
017644,博道中证1000指数增强A,2026-09-22,1.7872,eastmoney:pingzhongdata,False,
017937,易方达中证医疗ETF联接发起式A,2026-09-23,0.7844,eastmoney:pingzhongdata,False,
018043,天弘纳斯达克100指数发起(QDII)A,2026-09-22,2.1066,eastmoney:pingzhongdata,False,
018044,天弘纳斯达克100指数发起(QDII)C,2026-09-22,2.0886,eastmoney:pingzhongdata,False,
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,2026-09-22,2.9976,eastmoney:pingzhongdata,False,
019172,摩根纳斯达克100指数(QDII)人民币A,2026-09-22,1.813,eastmoney:pingzhongdata,False,
019441,万家纳斯达克100指数发起式(QDII)A,2026-09-21,1.7349,eastmoney:pingzhongdata,False,
019442,万家纳斯达克100指数发起式(QDII)C,2026-09-21,1.7234,eastmoney:pingzhongdata,False,
019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,2026-09-22,1.7066,eastmoney:pingzhongdata,False,
019736,宝盈纳斯达克100指数发起(QDII)A人民币,2026-09-22,1.5404,eastmoney:pingzhongdata,False,
019737,宝盈纳斯达克100指数发起(QDII)C人民币,2026-09-22,1.5295,eastmoney:pingzhongdata,False,
021457,易方达港股通红利低波ETF联接A,2026-09-23,1.1505,eastmoney:pingzhongdata,False,
021550,博时中证红利低波动100ETF联接A,2026-09-23,1.0663,eastmoney:pingzhongdata,False,
022523,天弘标普500发起(QDII-FOF)D,2026-09-22,2.2286,eastmoney:pingzhongdata,False,
022525,天弘纳斯达克100指数发起(QDII)D,2026-09-22,2.0844,eastmoney:pingzhongdata,False,
024772,摩根标普港股通低波红利ETF发起式联接A,2026-09-23,1.0033,eastmoney:pingzhongdata,False,
025958,南方中证全指自由现金流ETF联接A,2026-09-23,0.9313,eastmoney:pingzhongdata,False,
050025,博时标普500ETF联接A,2026-09-22,5.632,eastmoney:pingzhongdata,False,
160213,国泰纳斯达克100指数,2026-09-21,4.606,eastmoney:pingzhongdata,False,
161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),2026-09-22,4.6034,eastmoney:pingzhongdata,False,
162412,华宝医疗ETF联接A,2026-09-22,0.6058,eastmoney:pingzhongdata,False,
167301,方正富邦中证保险A,2026-09-22,1.081,eastmoney:pingzhongdata,False,
501060,中金中证优选300指数(LOF)A,2026-09-22,2.3746,eastmoney:pingzhongdata,False,
519002,华安安信消费混合A,2026-09-23,5.288,eastmoney:pingzhongdata,False,
